FID,globalid,uniq_id,timestamp,editor,wardname,wardcode,lganame,lgacode,statename,statecode,idp_hf_prv,idp_hf,idp_am_mdc,tot_hhold,f_pop_60,m_pop_pl60,f_pop18_59,m_pop18_59,f_pop6_17,m_pop6_17,f_pop1_5,m_pop1_5,f_pop_und1,b_pop_und1,site_id,idp_prtb_w,idp_amnts,idp_am_hs,idp_am_med,agncy_cntc,agency_nam,sma_type,site_cls_d,site_opn_d,site_statu,site_type,set_name,alt_st_nam,t_pop_und5,total_pop,pop_source,site_name
398,18733027-d87c-45c3-93ee-bdf01bb4e564,7312,1517529600000,adanna.alex,Nasarawa A,BA1217,Katagum,"5012",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Odoji
399,92051694-101d-4625-bef0-cdd5288de0c5,7353,1517529600000,adanna.alex,Kurmi,BA1511,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kurmi, ,0,0,IOM DTM RD16 May 2017,Kofar Fada
400,3fd7a6ef-1941-41a3-a41c-0a601b8bf932,7313,1517529600000,adanna.alex,Matsango,BA1216,Katagum,"5012",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Matsango, ,0,0,IOM DTM RD16 May 2017,Matsango
401,"0ab16083-1a14-4a09-8fb4-eb27ecaf48fa",7314,1517529600000,adanna.alex,Matsango,BA1216,Katagum,"5012",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Matsango, ,0,0,IOM DTM RD16 May 2017,Dabar Makaho
402,354b1845-d767-4a84-b992-c49f1332f16a,7315,1517529600000,adanna.alex,Ragwam,BA1219,Katagum,"5012",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Miga, ,0,0,IOM DTM RD16 May 2017,Ragwam
403,"012c185c-f406-469f-bca4-e4043bd79474",7316,1517529600000,adanna.alex,Ragwam,BA1219,Katagum,"5012",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tsangaya, ,0,0,IOM DTM RD16 May 2017,Mogonshi
404,b2be8840-56b3-4461-96d7-4d0d07cd8a90,7317,1517529600000,adanna.alex,Tsakuwa,BA1201,Katagum,"5012",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tatari Ali, ,0,0,IOM DTM RD16 May 2017,Kofar Gabas
405,9990ffb2-16d0-4a26-8269-d5df7b2fe311,7318,1517529600000,adanna.alex,Kafin Kuka,BA1214,Katagum,"5012",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Ramin Kasa, ,0,0,IOM DTM RD16 May 2017,Tatari Quarters
406,db79b17b-f012-42c2-85f4-1aee1536a7c1,7319,1517529600000,adanna.alex,Tsakuwa,BA1201,Katagum,"5012",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tatari Ali, ,0,0,IOM DTM RD16 May 2017,Tsakuwa
407,e3de20ce-fb36-46b5-9050-25d8fa841b19,7320,1517529600000,adanna.alex,Akuyam,BA1408,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Yayu
408,a269f935-4091-45b1-9d87-87fe0ae27db7,7321,1517529600000,adanna.alex,Badara,BA1301,Kirfi,"5013",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Fada
409,fe3397e5-0d28-4189-8d95-70ebae1a5233,7322,1517529600000,adanna.alex,Bara,BA1302,Kirfi,"5013",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kalajanga West, ,0,0,IOM DTM RD16 May 2017,Kala Janga
410,ddf65d22-3f77-4933-9bb0-8d64df17aef2,7323,1517529600000,adanna.alex,Bara,BA1302,Kirfi,"5013",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Unguwan Madaki, ,0,0,IOM DTM RD16 May 2017,Bara
411,3a2a9803-06f3-41b1-98ff-d9b71e51a4c1,7324,1517529600000,adanna.alex,Guyaba,BA1306,Kirfi,"5013",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Nasarawa
412,b992c2a8-afaf-4f4f-8dd7-ecadffa178d5,7325,1517529600000,adanna.alex,Dewu,BA1305,Kirfi,"5013",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Dewu Unguwar Sarki, ,0,0,IOM DTM RD16 May 2017,Kwanta
413,aa8b2436-e436-4373-b70c-ea5f001d039e,7326,1517529600000,adanna.alex,Kafin Iya,BA1311,Kirfi,"5013",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kafin Iya Ungwar Yamma, ,0,0,IOM DTM RD16 May 2017,Kafin Iya
414,215522d9-e786-44a9-acd0-e444a8623d28,7327,1517529600000,adanna.alex,Tubule,BA1309,Kirfi,"5013",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Tubule
415,f31382cd-1fc8-4e34-bd3b-85048c96d802,7328,1517529600000,adanna.alex,Wanka,BA1310,Kirfi,"5013",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Wanka Bakin Kasuwa, ,0,0,IOM DTM RD16 May 2017,Wanka
416,2c9276ef-ce56-40e2-9752-94a2138eafea,7329,1517529600000,adanna.alex,Gwaram,BA1410,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Kasuwa Sabo
417,3e8c68e9-1364-4c13-b9a1-811a0eca8980,7330,1517529600000,adanna.alex,Gwaram,BA1410,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Gwaram
418,b0e7dc45-f617-4f4a-ad9a-57bc4081012a,7331,1517529600000,adanna.alex,Hardawa,BA1407,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwan Dutse
419,81f339d1-2f90-42de-995d-eeb703a36252,7332,1517529600000,adanna.alex,Hardawa,BA1407,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwan Ganu
420,b1be6bfa-e025-4ed9-bd6a-748cf1fa11ad,7333,1517529600000,adanna.alex,Kukadi A,BA1404,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Tamsagari
421,141c6e0e-da9a-4557-b2fb-a7ae36907a66,7334,1517529600000,adanna.alex,Gundari,BA1413,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Mangari
422,dda21498-f8b9-47d5-9254-f567ce5d72a5,7335,1517529600000,adanna.alex,Akuyam,BA1408,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Sarma
423,33229a1c-ac5b-43fe-abb8-acf8003afc08,7336,1517529600000,adanna.alex,Akuyam,BA1408,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Kofar Fada
424,c7bda567-09ae-4cb7-98a6-e68b6228edba,7337,1517529600000,adanna.alex,Akuyam,BA1408,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Turaki
425,239b7f44-33f8-4a59-beb6-64847dd14e52,7338,1517529600000,adanna.alex,Hardawa,BA1407,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Burungutu
426,"0e144271-ca42-44a3-91ea-10803de9d9a3",7339,1517529600000,adanna.alex,Zadawa,BA1401,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwa Ganu
427,63d51b74-cb30-48c7-9fd3-2d8467f8fadc,7340,1517529600000,adanna.alex,Zadawa,BA1401,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwan Garu
428,36577b7b-3839-4ef3-848f-4d36a2ab5346,7341,1517529600000,adanna.alex,Zadawa,BA1401,Misau,"5014",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwan Dutse
429,2deddab5-0550-4b98-85f5-9b2988114e77,7342,1517529600000,adanna.alex,Balma,BA1505,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Balma, ,0,0,IOM DTM RD16 May 2017,Kara
430,cd1c27f8-a963-4b44-987a-c2ba6725b3c3,7343,1517529600000,adanna.alex,Balma,BA1505,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Balma, ,0,0,IOM DTM RD16 May 2017,Toran Kawa
431,e10a4a6b-cf45-49fc-b94f-cbc67fdee44f,7344,1517529600000,adanna.alex,Balma,BA1505,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Balma, ,0,0,IOM DTM RD16 May 2017,Kofar Fada
432,"0128124a-44e9-400f-b7f9-8b4283e47b4b",7345,1517529600000,adanna.alex,Kyata,BA1514,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kofar Sarkin Kyata, ,0,0,IOM DTM RD16 May 2017,Kyata
433,e7b8c0da-a8c2-4e0c-92c5-443b05168670,7346,1517529600000,adanna.alex,Burra,BA1508,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Budugu, ,0,0,IOM DTM RD16 May 2017,Burra
434,4a7ab471-9bb2-428b-95b1-b53c625587ed,7347,1517529600000,adanna.alex,Dingis,BA1502,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Bugaje, ,0,0,IOM DTM RD16 May 2017,Katsinawa Dingis
435,"0ce09741-e191-4d2a-b0af-359f563dcae4",7348,1517529600000,adanna.alex,Jangu,BA1504,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Bekwala, ,0,0,IOM DTM RD16 May 2017,Zakara
436,8acb1838-4ed2-4103-8835-70ed40765bf0,7349,1517529600000,adanna.alex,Jangu,BA1504,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kujera Cikin Gari, ,0,0,IOM DTM RD16 May 2017,Kujera
437,42e097b3-cef2-4702-a9c1-7d80ba22245b,7350,1517529600000,adanna.alex,Jangu,BA1504,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tsangayar Guda, ,0,0,IOM DTM RD16 May 2017,Gadar Maiwa
438,4e61998d-b5af-4f81-88ca-847d3faa53ca,7351,1517529600000,adanna.alex,Kudu Yamma,BA1506,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Katsinawa, ,0,0,IOM DTM RD16 May 2017,Katsinanwa Tabula
439,690eae81-52a5-4dcc-bb50-212db4619d83,7352,1517529600000,adanna.alex,Kudu Yamma,BA1506,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Batu Tudun, ,0,0,IOM DTM RD16 May 2017,Baju
440,6fc01fe0-80ce-43f0-8620-dc935258c796,7354,1517529600000,adanna.alex,Nasaru A,BA1503,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Ung Galadima
441,f0f7c6f1-65a0-4245-a6f1-10c812ac353e,7355,1517529600000,adanna.alex,Tudun Wada,BA1909,Warji,"5019",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Unguwar Abdu Kamisu, ,0,0,IOM DTM RD16 May 2017,Tsangaya Tudu
442,d111bde5-4966-4933-becf-8e530093fe31,7356,1517529600000,adanna.alex,Nasaru A,BA1503,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Ung Madaki
443,8fa0e209-7449-4f57-b043-e6dd57e86ac8,7357,1517529600000,adanna.alex,Ningi East,BA1501,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tatari Ali, ,0,0,IOM DTM RD16 May 2017,Ningi East
444,31f30e21-c281-4847-aec3-9d7569039fef,7358,1517529600000,adanna.alex,Sama,BA1509,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Yada Gungume, ,0,0,IOM DTM RD16 May 2017,Yada Gugunme
445,27a90ff3-faed-412d-9202-f2a502daa533,7359,1517529600000,adanna.alex,Tiffi,BA1517,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Zidani, ,0,0,IOM DTM RD16 May 2017,Wushani
446,a80f0baa-3ead-4dec-bce5-e544df037713,7360,1517529600000,adanna.alex,Tiffi,BA1517,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Zidani, ,0,0,IOM DTM RD16 May 2017,Bakin Kasuwa
447,366f7347-509e-46b8-81b9-4ab2cfed1769,7361,1517529600000,adanna.alex,Tiffi,BA1517,Ningi,"5015",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Zidani, ,0,0,IOM DTM RD16 May 2017,Unguwan Fada
448,99e13db5-4571-4521-9483-1189e1f2d2d4,7362,1517529600000,adanna.alex,Beli,BA1606,Shira,"5016",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Unguwar Rimi, ,0,0,IOM DTM RD16 May 2017,Bel 1
449,278c19cf-de5d-4fe4-9feb-c97e4d758916,7363,1517529600000,adanna.alex,Bangire,BA1612,Shira,"5016",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Bangire
450,90fe43c8-4168-46d9-8949-832eb3355f09,7364,1517529600000,adanna.alex,Bukul,BA1603,Shira,"5016",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kurna A, ,0,0,IOM DTM RD16 May 2017,Bukul
451,381142f7-fbe9-4e3a-9610-c04de3204efc,7365,1517529600000,adanna.alex,Disina A,BA1604,Shira,"5016",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Disina Sabon Gari, ,0,0,IOM DTM RD16 May 2017,Andumami
452,7ebae7d1-66f6-4dcf-a338-e5a63e4422a1,7366,1517529600000,adanna.alex,Faggo A,BA1605,Shira,"5016",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Unguwar Mai Tebur, ,0,0,IOM DTM RD16 May 2017,Faggo
453,41ef309c-1ebd-4a91-9378-255c6514dacc,7367,1517529600000,adanna.alex,Tsafi,BA1609,Shira,"5016",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Rigar Dago, ,0,0,IOM DTM RD16 May 2017,Kilbori
454,6b27ad1a-b0f7-4aa3-99bd-29204f716ea6,7368,1517529600000,adanna.alex,Disina A,BA1604,Shira,"5016",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Alkaleri, ,0,0,IOM DTM RD16 May 2017,Katabarawa
455,4d2f0721-c1c8-41b5-bfb9-98b022f705a6,7369,1517529600000,adanna.alex,Tsafi,BA1609,Shira,"5016",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Unguwar Beni, ,0,0,IOM DTM RD16 May 2017,Makwalaw Tsafi
456,37f7b517-c840-4f48-a13d-e1ce41189aff,7370,1517529600000,adanna.alex,Bununu A,BA1711,Tafawa-Balewa,"5017",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Bununu
457,475a6f57-eeb3-4330-8d5d-ef1887be2657,7371,1517529600000,adanna.alex,Kardam B,BA1702,Tafawa-Balewa,"5017",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Boto Babba A, ,0,0,IOM DTM RD16 May 2017,Boto
458,588130ae-84e1-467f-9715-fc2d84b2158b,7372,1517529600000,adanna.alex,Lere North,BA1703,Tafawa-Balewa,"5017",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Kofar Bai
459,7dfc79ad-16c1-438f-9b6e-e671ccf478e2,7373,1517529600000,adanna.alex,Wai B,BA1716,Tafawa-Balewa,"5017",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Tafawa Balewa
460,a9a81706-e8e7-46a4-9062-5fbaa99e8444,7374,1517529600000,adanna.alex,Ribina East,BA1803,Toro,"5018",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Sabon Layi, ,0,0,IOM DTM RD16 May 2017,Ringi Gari
461,e40b0e5b-7a8d-415d-ae03-22ec3983cc19,7375,1517529600000,adanna.alex,Tilde,BA1802,Toro,"5018",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Unguwar Kasa, ,0,0,IOM DTM RD16 May 2017,Kawuli
462,5c1100f5-2287-4935-ab68-971397e021db,7376,1517529600000,adanna.alex,Zalau,BA1816,Toro,"5018",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Zalau Rishi
463,eb2a912a-ea1d-40eb-9584-5986a4dbaac7,7377,1517529600000,adanna.alex,Baima,BA1901,Warji,"5019",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Duguniyan, ,0,0,IOM DTM RD16 May 2017,Warido
464,9b20ede8-cda6-4b5b-b2d6-7e83b1e0097a,7378,1517529600000,adanna.alex,Baima,BA1901,Warji,"5019",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Duguniyan, ,0,0,IOM DTM RD16 May 2017,Bama Tsamiya
465,8da89e5b-565c-4a4f-981e-b941b15c1095,7379,1517529600000,adanna.alex,Gabanga A,BA1905,Warji,"5019",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Unguwan Madaki, ,0,0,IOM DTM RD16 May 2017,Gabanga
466,5c75d217-0c97-4e1c-9bdb-1f76740e7c37,7380,1517529600000,adanna.alex,Katanga,BA1906,Warji,"5019",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Dansai
467,"06d6c3dc-f6a2-4242-861f-5f58723ab9c2",7381,1517529600000,adanna.alex,Tiyin B,BA1911,Warji,"5019",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Kahan
468,4647d486-17cc-4438-8818-9c8630f956f0,7382,1517529600000,adanna.alex,Dallaji,BA1902,Warji,"5019",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Dallaji, ,0,0,IOM DTM RD16 May 2017,Tundu Wada
469,8a298cb4-b92b-4aab-8574-cd9a95dcefe3,7383,1517529600000,adanna.alex,Kafin Larabawa,BA2015,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Kafin Larabawa
470,55563167-9f24-4742-8d96-0f7c863b11a8,7384,1517529600000,adanna.alex,Lodiyo,BA2016,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Musa A Mohammed
471,934c437a-424b-4f7e-aa2f-02c342e16deb,7385,1517529600000,adanna.alex,Katagum,BA2002,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Anguwan Sojoji
472,91fc788e-ff8e-41c4-8f17-8992ce8c2b60,7386,1517529600000,adanna.alex,Katagum,BA2002,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Bakin Kasuwa
473,63773248-d864-4fd1-9c82-e90c91348b12,7387,1517529600000,adanna.alex,Mainako South,BA2018,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Mainako Kenyari, ,0,0,IOM DTM RD16 May 2017,Mainako
474,aa2fb51b-42cc-4efb-b20c-4a5018aa3803,7388,1517529600000,adanna.alex,Maiwa,BA2010,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Aboke Fulani, ,0,0,IOM DTM RD16 May 2017,Gurka
475,b8744c0b-7e83-49f1-b7c8-7e35d281ca8c,7389,1517529600000,adanna.alex,Makawa,BA2004,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, ,None,,, ,Host Communities,Makawa Arewa, ,0,0,IOM DTM RD16 May 2017,Makawa
476,e004c5bc-066f-4193-9229-374be421a472,7390,1517529600000,adanna.alex,Murmur South,BA2008,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Chibiyayi Daba, ,0,0,IOM DTM RD16 May 2017,Chibiyayi
477,552590d4-f6d2-479e-903d-0bd34676d763,7391,1517529600000,adanna.alex,Murmur North,BA2007,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Murmur
478,ee588eb6-f502-4a58-9f16-e2bba2d30ec7,7392,1517529600000,adanna.alex,Sakwa,BA2005,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Sakwa
479,357079b5-4d68-4fb0-bcb9-1eae1620e7a9,7393,1517529600000,adanna.alex,Tashena,BA2012,Zaki,"5020",Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tashene Yamma, ,0,0,IOM DTM RD16 May 2017,Tashena
480,e515f272-697c-4b72-b4b9-91b945fc0675,7394,1517529600000,adanna.alex,Garko,GMSAKK02,Akko,"16001",Gombe,GO, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garko, ,0,0,IOM DTM RD16 May 2017,Barundi
481,74776c7f-dab3-4db1-9715-188fb2a704e9,7395,1517529600000,adanna.alex,Garko,GMSAKK02,Akko,"16001",Gombe,GO, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garko, ,0,0,IOM DTM RD16 May 2017,Bogo
482,9f15eec9-e739-45da-8fb5-04acd5c732ff,7396,1517529600000,adanna.alex,Pantami,GMSGME10,Gombe,"16006",Gombe,GO, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Libya
483,5d0c41e4-78ff-4eec-a0ac-753909571df9,7397,1517529600000,adanna.alex,Garko,GMSAKK02,Akko,"16001",Gombe,GO, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garko, ,0,0,IOM DTM RD16 May 2017,Hammadu Kafi
484,8a7d051c-ec99-40c0-8ab3-d1f6ddc1888c,7398,1517529600000,adanna.alex,Garko,GMSAKK02,Akko,"16001",Gombe,GO, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garko, ,0,0,IOM DTM RD16 May 2017,Wuro Biriji
